Timestamp,Num Rounds,Num Courts,Num Men,Num Women,Num Games,Repeat Opponents Min,Repeat Opponents Max,Repeat Opponents Avg,Repeat Opponents Rng,Repeat Teammates Min,Repeat Teammates Max,Repeat Teammates Avg,Repeat Teammates Rng,Games Played Min,Games Played Max,Games Played Avg,Games Played Rng Men,Games played Rng Women,Repeat Exponential,Opponent History Weight,Teammate History Weight,Games Played Weight,Recent Rounds Weight
2026-02-28 09:27:51.371738,14,1,8,8,14,0,0,0.0,0,0,0,0.0,0,3,4,3.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.414678,14,1,9,9,14,0,1,0.2222222222222222,1,0,0,0.0,0,3,4,3.111111111111111,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.482404,14,1,10,10,14,0,1,0.2,1,0,0,0.0,0,2,3,2.8,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.484815,15,1,2,2,15,27,27,27.0,0,13,13,13.0,0,15,15,15.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.488137,15,1,3,3,15,15,15,15.0,0,7,7,7.0,0,10,10,10.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.490646,15,1,4,4,15,7,9,8.0,2,3,4,3.5,1,7,8,7.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.495774,15,1,5,5,15,3,5,4.0,2,1,1,1.0,0,6,6,6.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.506170,15,1,6,6,15,1,5,3.0,4,0,1,0.3333333333333333,1,5,5,5.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.524543,15,1,7,7,15,0,2,0.8571428571428571,2,0,0,0.0,0,4,5,4.285714285714286,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.554197,15,1,8,8,15,0,0,0.0,0,0,0,0.0,0,3,4,3.75,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.618556,15,1,9,9,15,0,1,0.2222222222222222,1,0,0,0.0,0,3,4,3.3333333333333335,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.691652,15,1,10,10,15,0,3,0.6,3,0,1,0.2,1,3,3,3.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.692636,16,1,2,2,16,29,29,29.0,0,14,14,14.0,0,16,16,16.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.694380,16,1,3,3,16,15,17,16.333333333333332,2,7,8,7.666666666666667,1,10,11,10.666666666666666,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.698301,16,1,4,4,16,9,9,9.0,0,4,4,4.0,0,8,8,8.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.706072,16,1,5,5,16,3,6,4.4,3,1,2,1.4,1,6,7,6.4,1,1,2,1,5,100,0.0001
